EINSATZORT ID;EINSATZORT BEZEICHNUNG;EINSATZORT STRASSE;EINSATZORT PLZ
MN185023;Idstein;Am Hahlgarten 3;65502
MN185005;Bad Camberg;Otto-Hahn-Str.5;65520
BT65100000043;FSP Limburg;Offheimer Weg 19;65549
DUP692-MN184;Limburg;An der Mail 8;65555
MN185007;Diez;Heckenweg 11-14;65582
MN185017;Hadamar;Auf dem Sechsmorgen 16;65589
MN185040;Villmar;Unicastr. 11;65606
BT65100000020;Hofheim-Wallau;Robert-Bosch-Str. 11-13;65719
MNFM100008135;c/o Deutsche Bank Eschborn;Alfred-Herrhausen-Allee 16-24;65760
MNFM100111467;c/o Dienstleistungszentrum Eschb;Alfred-Herrhausen-Allee 16-24;65760
MNFM100111468;DLZ Eschborn;Alfred-Herrhausen-Allee 16-24;65760
MNFM100135500;Auto - Nauheim GmbH;Mergenthalerallee 7-13 ;65760
MN185024;Kelkheim;Breslauer Straße 42-46;65779
MN185022;Hattersheim;Am Markt 11-13;65795
MNFM100123521;ZB Hattersheim;Philipp-Reis-Str. 8;65795
MN185006;Bad Soden;Königsteiner Straße 48;65812
MNFM100135452;Auto - Nauheim GmbH;Frankfurter Str. 33-37;65830
DUP690-MN184;Frankfurt-Höchst;Palleskestraße 38;65929
MNFM100133380;ZB Frankfurt-Höchst;Palleskestr. 38;65929
MNFM100120658;ZSP Saarbrücken 3;Rheinstr. 35;66113
MN184502;BZ 66 Betriebstechnik;Untertürkheimer Str. 28;66117
MNFM100005962;BZ 66 Abt.31;Untertürkheimer Str. 28;66117
MNFM100113445;BZ 66 Saarbrücken (Abt. 33);Untertürkheimerstr. 28;66117
MNFM100114445;BZ 66 Saarbrücken (Paket);Untertürkheimer Str. 28;66117
MNFM100133644;SNL HR Deutschland;Untertürkheimer Str 28;66117
MNFM100134643;ZSP Saarbrücken 10;Untertürkheimer Str. 28;66117
RT30100000286;Fahrgruppe Saarbrücken;Untertürkheimer 28;66117
RT30100000287;BZ 66 Hausservice(Abt.38);Untertürkheimer 28;66117
RT30100000530;NL Prod. Brief Saarbrücken;Untertürkheimer Str.28;66117
MN184500;ZSPL Saarbrücken;Taubfeld 4;66121
BT66100000002;ZSP Dudweiler;Saarbrücker Str. 294;66125
MNFM100004667;ZSP Bübingen;Industrie Str.3 (Bübingen );66129
MNFM100131483;helplinePRO AGBlaser Heusweiler;Saarstraße 98;66265
MN184507;ZSP Sulzbach;Mellinweg 20 - 22;66280
MNFM100124040;ZSP Quierschied;Sebastian Bach Str.74;66287
MNFM100129240;ZSP Riegelsberg;Russenweg 0;66292
MN184460;ZSP Friedrichsthal;Johannisstr. 6;66299
MNFM100117987;TU - KEP und Logistik GmbH;Robert-Koch Strasse 8;66299
MNFM100124279;DHL Express Saarbrücken;Robert-Koch-Str. 8;66299
MN184514;ZSP Völklingen;Hans-Großwendt-Ring 17;66333
MNFM100122264;ZB Völklingen;Hans-Großwendt-Ring 4;66333
MNFM100135571;Autohaus Bunk GmbH & Co. KG;Karolingerstr. 1 ;66333
MN184506;ZSP St. Ingbert;Poststr. 48;66386
MNFM100122268;ZB St. Ingbert;Dudweilerstr. 107;66386
MN184477;ZSP Mandelbachtal;Theo-Carlen-Platz 5a;66399
MN184466;ZSP Homburg;Am Zweibrücker Tor 12;66424
MN184452;ZSP Blieskastel;In den Krummen Äckern 6;66440
MN184451;ZSP Bexbach;Kleinottweiler Str. 90;66450
MN184462;ZSP Gersheim;Industriegebiet 27;66453
MN184470;ZSP Kirkel;Friedrichstr.45;66459
MNFM100122265;ZB Kirkel;Julius-Probst-Str. 3;66459
MN184519;ZSP Zweibrücken;Gottlieb Daimler Straße 24;66482
MN184480;ZSP Neunkirchen;Brückenstr. 21;66538
MN184468;ZSP Illingen;Industriestraße 41;66557
MN184459;ZSP Eppelborn;Am Güterbahnhof 1 b;66571
MN184505;ZSP Schiffweiler;Knappenweg 11;66578
MNFM100132361;helplinePRO Autoservice Noss;Ottweilerstraße 72a;66578
MN184503;ZSPL St. Wendel;Mommstr. 15;66606
MNFM100122700;ZUI_AutoSchmidt_St.Wendel_LR66;Tritschlerstr.7;66606
MNFM100005633;ZSP Nohfelden;Kladenfloss 9 a;66625
MN184461;ZSP Freisen;In der Zennwies;66629
MN184512;ZSP Tholey;Gewerbegebiet Keltenweg Theley;66636
NEUMN18971;ZB Merzig;Bahnhofstr. 9-11;66653
MN184478;ZSP Merzig;In der Bruchwies 1a;66663
MN184473;ZSP Losheim;Streifstr. 1;66679
MN184517;ZSP Wadern;Poststr. 34;66687
MN184485;ZSP Mettlach;Gewerbepark Weiten 7;66693
MN184501;ZSPL Saarlouis;Großer Markt 22;66740
MN184457;ZSP Dillingen;De-Lenoncourt Str. 2;66763
MNFM100122267;ZB Hülzweiler;Gottlieb-Daimler-Str. 13;66773
MN184492;ZSP Rehlingen-Siersburg;Wallerfanger Str. 65a;66780
MN184518;ZSP Wadgassen;Wadgasser Str. 180;66787
MN184497;ZSP Saarwellingen;Werner von Siemens Str. 2;66793
MN184513;ZSP Überherrn;Nauwies 8;66802
MN184509;ZSP Schwalbach;Provinzalstr.108;66806
MN184474;ZSP Lebach;Auf Häpelt 14;66822
MN184472;ZSPL Landstuhl;Lindenstr. 15;66849
MN184469;ZSP Kusel;Bahnhofstr. 61;66869
