EINSATZORT ID;EINSATZORT BEZEICHNUNG;EINSATZORT STRASSE;EINSATZORT PLZ
MN183152;ZSP Bordesholm;Eiderhöhe 8;24582
MN183193;ZSP Nortorf;Kleine Mühlenstraße 3;24589
MN183168;ZSP Hohenwestedt;Itzehoer Straße 85;24594
MN183153;ZSP Boostedt;Dorfring 28;24598
MN183211;ZSP Wankendorf;Markt 6b;24601
MN183210;ZSP Trappenkamp;Am Markt 5;24610
MN183197;ZSPL Rendsburg;Büsumer Straße 56;24768
MNFM100123200;ZUI_AH KathGmbH_Rendsb._LR24,25;Schleswiger Chaussee 26;24768
MNFM100137270;FStp Rendsburg;Büsumer Straße 56;24768
MN183150;ZSP Bredenbek;Walcottweg 6;24796
MN183171;ZSP Hohn;Bahnhofstraße 10;24806
DUP384-MN184;ZSP Schleswig;Schwarzer Weg 26;24837
MNFM100116846;ZSP Schleswig-Nord;Werner-von-Siemens-Straße 10-12;24837
MN183180;ZSP Kropp;Fabrikstraße 5;24848
MNFM100007330;ZSP Silberstedt;Langacker 2;24887
MN183201;ZSP Süderbrarup;Gewerbestraße 13b;24932
DUP380-MN184;ZSPL Flensburg;Bahnhofstraße 40;24937
MNFM100005736;Abt. 31 FFz (Flensburg);Bahnhofstraße 40;24937
MNFM100122213;ZB 7300 Flensburg;Am Sophienhof 18;24941
MNFM100135412;Heinrich Nehrkorn GmbH & Co.KG;Zur Bleiche 49 ;24941
MNFM100135632;Heinrich Nehrkorn GmbH & Co.KG;Zur Bleiche 52 ;24941
MNFM100135661;Alphabet Fuhrparkmanagement;Zur Bleiche 52 ;24941
MNFM100137269;FStp Flensburg;Am Sophienhof 18;24941
MN183166;ZSP Glücksburg;Bahnhofstraße 4;24960
MN183209;ZSP Tarp;Industriestr. 12;24963
MNFM100132200;ZSP Sörup;Schulstraße 84;24966
MNFM100135521;Bluekens truck en bus B.V.;Wegastraat 29;2516
NEUMN181945;ZSP Elmshorn;Berliner Straße 6;25335
MNFM100005610;Abt. 31 FFz (Elmshorn);Kurt-Wagener-Straße 15;25337
MNFM100121197;SStp Hamburg West;Kurt Wagner Str. 15;25337
MNFM100129720;ZSP Elmshorn BZ;Kurt-Wagner-Straße 15;25337
NEUDUP210-MN184;Abt. 32 Elmshorn;Kurt-Wagener-Straße 15;25337
NEUMN181953;ZSP Glückstadt;Hinterm Hofe 12;25348
NEUMN181940;ZSP Barmstedt;Bahnhofstraße 10;25355
NEUMN181958;ZSP Horst;Ernst-Barlach-Straße 1;25358
NEUMN181974;ZSPL Pinneberg;Friedrich-Ebert-Straße 28;25421
MNFM100122214;ZB 6100 Tornesch mechZB;Liese-Meitner-Allee 19;25436
NEUMN181983;ZSP Uetersen;Kleiner Sand 58;25436
NEUMN181976;ZSP Quickborn;An der Retloh 2;25451
NEUMN181941;ZSP Bönningstedt;Bahnhofstraße 19;25474
NEUMN181975;ZSP Pellworm;Tammensiel 8;25489
MNFM100135411;PRIOCAR AG;Käthe-Kruse-Weg 7 ;25524
MNFM100135604;GreenTec Campus GmbH;Robert Koch Straße 2 ;25524
NEUMN181965;ZSP Itzehoe;Portland-Cement-Straße 10;25524
NEUMN181939;ZSP Brunsbüttel;Kautzstraße 15;25541
MNFM100131621;helplinePRO Kai Thomas Lalla;Oferndorfer Str.32;25548
NEUMN181957;ZSP Kellinghusen;An der Stör 6;25548
NEUMN181986;ZSP Wilster;Steindamm 7a;25554
MNFM100129582;TU Gaby Bajorat Transporte;Dorfstr. 11 b;25557
NEUMN181955;ZSP Hanerau-Hademarschen;Kaiserstraße 10;25557
MNFM100131620;helplinePRO Kfz-Service Holling;Holstenstr. 47;25560
NEUMN181963;ZSP Hadenfeld;Schulweg 8;25560
NEUMN181980;ZSP Sankt Michaelisdonn;Zuckerstraße 30;25693
NEUMN181971;ZSP Meldorf;Am Bahnhof 2;25704
NEUMN181970;ZSP Marne;Schulstraße 9;25709
NEUMN181943;ZSP Burg;Erwin-Behn-Str.49;25712
NEUMN181954;ZSPL Heide;Poststraße 5;25746
NEUMN181982;ZSP Tellingstedt;Am Markt 9;25782
MNFM100137271;FStp Husum;Tunnelweg 1;25813
NEUMN181960;ZSPL Husum;Tunnelweg 1;25813
NEUMN181944;ZSP Bredstedt;Rosenburger Weg 18;25821
NEUMN181979;ZSP Sankt Peter-Ording;Bövergeest 85e;25826
NEUMN181951;ZSP Friedrichstadt;Van-Wouwer-Straße 5;25840
NEUMN181961;ZSP Hooge;Ockenswarft;25859
MNFM100004808;ZSP Niebüll;Bahnhofstraße 10;25899
MNFM100135456;GreenTec Campus GmbH;Lecker Straße 7;25917
MNFM100135513;GreenTec Campus GmbH;Lecker Str. 7 ;25917
NEUMN181969;ZSP Leck;Bahnhofstraße 21;25917
NEUMN181989;ZSP Wyk;Feldstraße 32;25938
NEUMN181988;ZSP Wittdün;Inselstraße 30;25946
NEUDUP212-MN184;ZSP Westerland;Kjeirstraße 17;25980
MNFM100135494;Munderloh Automobile;Haseler Weg 1 ;26125
MNFM100118546;Oldenburg (Oldb) 3;Baumschulenweg 14;26127
BT26100000001;Oldenburg (Oldb) 2;Rudolf Diesel Straße 38;26135
DUP494-MN184;Niederlassung BZ Oldenburg;An der Schmiede 10 - 12;26135
MN184082;Oldenburg (Oldb) 5;An der Schmiede 10 - 12;26135
MNFM100003700;BZ 26 Verkehr (Abt. 32);An der Schmiede 10 - 12;26135
MNFM100003809;BZ 26 Hausservice (Abt.38);An der Schmiede 10 - 12;26135
MNFM100006688;BZ 26 Stationäre Bearbeitung;An der Schmiede 10 - 12;26135
MNFM100118785;ZB Oldenburg 1 (MechZB) 2801;August-Wilhelm-Kühnholz-Str. 79;26135
MNFM100122740;ZUI_AH Braasch_VW Zentr_Old_LR26;Bremer Herrstr. 1;26135
MNFM100124662;TS Hamburg BZ Oldenburg;An der Schmiede 10-12;26135
MNFM100135702;Alphabet Fuhrparkmanagement;Elisabethstraße 7 ;26135
MN184046;Bad Zwischenahn;Langenhof 12;26160
MN184061;Friesoythe;Werner von Siemensstr. 8;26169
MN184086;Rastede 1;Bürgermeister Brötje Str. 3;26180
MN184058;Edewecht;Hauptstraße 44;26188
MN184045;Großenkneten;Am Anger 1;26197
MN184102;Wardenburg;Rheinstraße 8;26203
MN184065;Hatten;Paul-Hug-Str. 3;26209
MN184094;Varel 1;Hans-Schütte-Str. 6;26316
MN184107;Zetel;Neuenburger Straße 9;26340
BT26100000003;FzSStp  Wilhelmshaven;Rathausplatz 2;26382
DUP496-MN184;Wilhelmshaven 1;Rathausplatz 2;26382
MNFM100113126;ZB Wilhelmshaven 2805;Rathausplatz 2;26382
MN184095;Wittmund 1;Breslauer Str. 19-21;26409
MN184089;Schortens 1;Weserstraße 5;26419
MN184056;Esens 1;Adolf- Ahlers Str. 4;26427
MN184098;Wangerland;Herderstraße 22;26434
MN184070;Jever;Am Leeghamm 1;26441
MN184062;Friedeburg;Weideweg 1;26446
MN184090;Sande;Am Bulsterdeich 4;26452
MN184074;Langeoog;Schniederdamm 22;26465
MN184092;Spiekeroog;Westerloog 22;26474
MN184099;Wangerooge;Elisabeth-Anna-Straße 11;26486
MN184078;Norden 1;Am Norder Tief 20;26506
MN184066;Hage;Bürgermeister Erdmann Str.1;26524
MN184075;Marienhafe;Widzel-tom-Brook-Str. 23;26529
MNFM100131625;helplinePRO Autohaus Meyerhoff;Burgstr. 32a;26529
MNFM100122741;ZUI_Fa Otto Heinz_Großheide_LR26;Dorfstr. 95;26532
MN184079;Norderney;Im Gewerbegelände 24;26548
MN184106;Westerholt;Gewerbegebiet West 6;26556
MN184071;Juist;Friesenstraße 12;26571
MN184043;Aurich 1;Wallster Weg 9;26603
MNFM100131626;helplinePRO Hinrich Goes;Liebigstraße 9;26607
MN184087;Südbrookmerland;Neue Straße 82;26624
MN184064;Großefehn 1;Schmiedestr. 28b;26629
MN184068;Ihlow;Dieselstraße 14;26632
MN184100;Wiesmoor;Hauptstr. 93;26639
MNFM100135351;Alphabet Fuhrparkmanagement;Oldenburger Str. 40 ;26639
MNFM100135391;Autobedarf Knoblauch GmbH;Oldenburger Str. 40;26639
MNFM100135405;Tölke & Fischer Auto Link;Oldenburger Straße 40 ;26639
MNFM100135523;Autohaus Bergland FF a.d. Oder;Oldenburger Str. 40 ;26639
MNFM100135569;Autobedarf Knoblauch GmbH;Oldenburger Straße 40 ;26639
MNFM100135739;Schoon Fahrzeugsysteme &;Oldenburger Straße 40 ;26639
MN184103;Westerstede 1;Poststraße 2;26655
MN184093;Uplengen;Focko-Ukena-Str. 3;26670
MN184049;Barßel;Dritter Hüllenweg 33 B;26676
MNFM100118625;Saterland;Ostermoorstr. 8;26683
BT26100000004;FzSStp Emden;Bahnhofsplatz 9;26721
DUP490-MN184;Emden 1;Bahnhofsplatz 9;26721
MN184072;Krummhörn;Drostenplatz 1;26736
MN184050;Borkum;Bismarckstr. 9;26757
BT26100000005;FZSStp  Leer;Bahnhofsring 2;26789
MN184073;Leer (Ostfriesland) 1;Bahnhofsring 2;26789
MNFM100124660;<TS Hamburg ZB Leer;Bahnhofsring 2;26789
MN184076;Moormerland;Dr.-Warsing-Straße 129;26802
MNFM100113125;Weener;Graf-Edzard-Str. 73;26826
MN184067;Hesel;Ahornstraße 4;26835
MN184081;Ostrhauderfehn;Sandkamp 4;26842
MN184084;Papenburg 1;Friederikenstr. 116a;26871
MN184054;Dörpen;Am Südring 25;26892
MN184059;Esterwegen;Cundastraße 3;26897
DUP484-MN184;Brake (Unterweser);Breite Straße 156;26919
MNFM100135694;J. Müller Weser GmbH & Co. KG;Nordstraße 7 ;26919
MN184077;Nordenham 1;Marktplatz 5 (Navi: Jahnstraße);26954
MN184051;Butjadingen;Butjadinger Straße 11;26969
DUP146-MN184;Bassum 3;Industriestraße 3a;27211
MN181616;Sulingen 2;Schmelingstraße 26;27232
MN181626;Twistringen 3;Gottlieb-Daimler-Str. 17;27239
MN181589;Harpstedt 2;Mühlenweg 26 - 28;27243
DUP164-MN184;Verden 1;Albert Einstein Ring 11;27283
NEUMN18544;FSP Verden;Albert-Einstein Ring 11;27283
MN181597;Langwedel 3;Hauptstraße 12;27299
MN181630;Bruchhausen Vilsen 2;Am Gaswerk 3a;27305
MNFM100135386;Autohaus Bergland/ Wipperfürth;Bendingbosteler Dorfstraße 15 ;27308
MNFM100135434;Ferdinand Schultz Nachfolger;Bendingbosteler Dorfstraße 15 ;27308
MNFM100135486;AHAG Automobil - Egon;Bendingbosteler Dorfstr. 15 ;27308
MNFM100135511;Alphabet Fuhrparkmanagement;Bendingbosteler Dorfstr. 15;27308
MNFM100135563;Autohaus Weller GmbH & Co. KG;Bendingbosteler Dorfstr. 15 ;27308
MNFM100135723;Heinz Schutz GmbH;Bendingbosteler Dorfstraße 15 ;27308
MN181582;Dörverden 2;Bahnhofstraße 12;27313
MN181590;Hoya 2;Knesestraße 23;27318
MN181604;Thedinghausen 2 (Morsum);Boschstraße 6;27321
MN181612;Rethem 2;Amtshauptmann-Jordan-Platz 1;27336
MNFM100005794;FSP Rotenburg 1;Große Straße 29 - 33;27356
MNFM100124384;Rotenburg;Große Straße 29 - 33;27356
MN181629;Visselhövede 2;Im Gewerbepark 6;27374
MN181619;Scheeßel 2;Westerveseder Landstraße 22 B;27383
MN181636;Zeven;Vitusplatz 6;27404
MNFM100135551;Fricke Nutzfahrzeuge GmbH;Zum Kreuzkamp 9 ;27404
MN181621;Sittensen 2;Bahnhofstraße 32;27419
MN181557;Bremervörde 6;Stader Str. 31;27432
MNFM100131644;helplinePRO Kerstner KFz-Werksta;Stader Str. 85;27432
MN181586;Gnarrenburg 2;Hindenburgstraße 51;27442
MN181620;Selsingen 2;Rosenstraße 12;27446
DUP158-MN184;Cuxhaven;Peter-Henlein-Str. 13;27472
MN181592;Helgoland 2;Schifferstr. 66;27498
DUP148-MN184;Bremerhaven 1;Friedrich-Ebert-Straße 75-79;27570
MN18522;3674 Bremerhaven;Am Lunedeich 163;27572
MNFM100135784;Deutsche See GmbH;Maifischstraße 3-9 ;27572
NEUMN18527;ZB  Bremerhaven (Abt. 32);Am Lunedeich 163;27572
MN181599;Loxstedt 2;Feldstr. 54;27574
MN181577;Bremerhaven 31;Langener Landstr. 237-239;27578
MN181566;Beverstedt;Logestraße 27;27616
MN181565;Geestland;Raiffeisenstr 51;27624
MN181588;Hagen 2;Amtsdamm 58;27628
MN181583;Wurster Nordseeküste;Speckenstraße 36A;27639
MN181608;Osterholz-Scharmbeck 2;Bremer Str. 43a;27711
MNFM100133082;3661 mechZB - OHZ;Sachsenring 20;27711
MN181614;Ritterhude 2;Deltastr. 8A;27721
MN181591;Hambergen;Bahnhofstraße 3;27729
DUP160-MN184;Delmenhorst 1;Mühlenstraße 5 - 7;27753
MNFM100131624;helplinePRO  Lars Burgemeister;Achimstr. 14;27755
MN181585;Ganderkesee 4;Grüppenbührener Str. 1;27777
MN181634;Wildeshausen 2;Visbeker Str. 62b;27793
MNFM100122802;ZUI_Fa_Buhl_Wildeshausen_LR27,28;Düngstruper Str. 73;27793
MN181593;Hude 2;Hohe Straße 33;27798
MN181600;Lemwerder;Bardewischer Ring 27 - 28;27809
DUP156-MN184;City;Domsheide 15;28195
MNFM100135704;Alphabet Fuhrparkmanagement;Bürgermeister-Schmitdt-Str.95 ;28195
MNFM100001770;DHL Home Delivery GmbH;Senator-Nolting-Hauff-Str. 3;28197
MNFM100007711;PZ 29 Bremen (Abt. 35,Stationär);Ludwig von Kapf Str.1;28197
MNFM100112065;FZ Bremen;Senator-Nolting-Hauff-Str. 1;28197
MNFM100133081;GVZ Bremen/ PZ 28/ NL Betrieb 26;Senator-Nolting-Hauff-Str. 1-3;28197
MNFM100133083;3671 GVZ - Bremen;Senator-Nolting-Hauff-Str. 1;28197
MNFM100133440;FSP PZ28;Senator-Nolting-Hauff-Str. 1;28197
MNFM100133700;DHL Freight GmbH Bremen;Senator-Nolting-Hauf-Str. 2-5;28197
MNFM100135243;GVZ Bremen/ PZ 28/ NL B 26/ Tech;Senator-Nolting-Hauff-Str. 1-3;28197
DUP144-MN184;BZ 28 Bremen;Hanna-Kunath-Straße 22;28199
MNFM100003490;BZ 28 Auslieferung/Qual(Abt.33);Hanna-Kunath-Str. 22;28199
MNFM100007741;BZ 28 Stationär (Abt. 31);Hanna-Kunath-Straße 22;28199
MNFM100120366;DHL Global Forwarding GmbH;Hanna-Kunath-Str. 12;28199
MNFM100137589;DHL Global Forwarding GmbH;Flughafenallee 11;28199
RT20100000852;BZ 28 Verkehr (Abt.32);Hanna-Kunath-Str. 22;28199
RT20100000899;BZ 28 Hausservice( Abt 38);Hanna-Kunath-Str. 22;28199
MNFM100132541;Bremen 11;Hastedtder Heerstr. 17b;28207
MNFM100132540;Bremen 17;Kurfürstenallee 130;28211
MN181569;Bremen 24;Stapelfeldstr. 5;28237
MNFM100006510;SC Bremen;Hüttenstr. 110;28237
MNFM100118425;DHL Freight GmbH;Beim Industriehafen 56;28237
MNFM100131681;DHL Express Bremen GmbH;Hüttenstr. 110;28237
MNFM100133084;3677 Bremen - Hüttenstr.;Hüttenstraße 110;28237
MNFM100132120;Bremen 62;Gorsemannstr. 22;28277
MN181571;Bremen 46;Hemelinger Hafendamm 30a;28309
MN18523;3675 Bremen - Hemelingen;Ludwig-von-Kapff-Str. 1;28309
MNFM100005703;PZ 29 Bremen (Abt.32,Verkehr);Ludwig von Kapff-Str. 1;28309
MNFM100129460;Bremen 41;Berliner Freiheit 8;28327
MN181570;Bremen 33;Lilienthaler Heerstr. 189;28357
MN181559;Bremen 70;Vegesacker Heerstr. 111;28757
MN18524;3676 Bremen - Vegesack;Vegesacker Heerstr. 111;28757
MN181623;Bremen 73;Lüssumer Str. 105;28779
MN181624;Stuhr 1;Melcherstätte 8;28816
MN181625;Stuhr 2;Stuhrer Landstr. 45;28816
MN181556;Achim 1;Bremer Str. 70;28832
MN181633;Weyhe 3;Werkstr. 6;28844
MNFM100124689;WO/DO Weyhe;Heitmannsweg 10;28844
MN181615;Syke 1;Industriestr. 7;28857
MN181601;Lilienthal 2;Edisonstr. 8;28865
MNFM100129985;Sg 3540 Betriebssteuerung;Falkenberger Landstr. 79;28865
MN181609;Ottersberg 3;Große Straße 110;28870
MN181610;Oyten 4;Industriestr. 3A;28876
MN181587;Grasberg 2;Am Langenmoor 2;28879
MN18700;ZB Celle;77er Str. 54;29221
MNFM100003520;BZ 29 Betriebstechnik (Sg 319);Rütger-Hinüber-Str. 4;29221
NEUMN181690;Celle;77er Straße 54;29221
MNFM100134907;141-71 Reg. Inst.-Verträge Nord;Rütger-Hinüber-Str. 4;29223
NEUDUP170-MN184;BZ 29 Celle (Abt 32);Rütger-Hinüber-Str. 4;29223
NEUMN181724;Winsen;Oldauer Weg 4;29308
NEUMN181704;Hermannsburg;Brandenbusch 28;29320
NEUMN181707;Lachendorf;Im Bulloh 2;29331
MNFM100135662;Alphabet Fuhrparkmanagement;Heinrich-Ehrhardt- Str. 2;29345
NEUMN181695;Eschede;Höhenbergweg 7;29348
NEUMN181697;Eicklingen;Schmolkamp 31;29358
NEUMN181720;Wittingen;Celler Straße 39;29378
NEUMN181721;Wesendorf;Gifhorner Str. 18;29392
NEUDUP174-MN184;Salzwedel;Kristallweg 7;29410
NEUMN181706;Lüchow;Künscher Str. 12;29439
NEUMN181693;Dannenberg;Prochaskaplatz 7;29451
NEUMN181691;Clenze;Schützenholzstr. 15;29459
NEUDUP176-MN184;Uelzen;Bahnhofstraße 14 - 16;29525
NEUMN181689;Bad Bevensen;Kurze Bülten 12;29549
NEUMN181713;Suderburg;Bahnhofstraße 55;29556
NEUMN181725;Wrestedt;Langdoren 2;29559
NEUMN181714;Suhlendorf;Industriestr. 5;29562
NEUMN181696;Ebstorf;Brüggerfeld 24;29574
NEUDUP172-MN184;Soltau;Bergstraße 4;29614
NEUMN181708;Munster;Wilh.-Bockelmann-Straße 38;29633
NEUMN181711;Schneverdingen;Verdener Straße 2;29640
NEUMN181687;Bispingen;Bahnhofstraße 13;29646
NEUMN181722;Walsrode;Bronzeweg 1;29664
MNFM100135526;AHLBORN GmbH Unimog-;Becklinger Str. 17;29683
MNFM100135529;Peter Meineke GmbH & Co. KG;Becklinger Str. 17;29683
NEUMN181712;Schwarmstedt;Celler Str. 5;29690
MNFM100001549;GK-Vertrieb Hannover;Goseriede 16;30159
MNFM100008600;PB Firmenkunden AG//Hr Prinzler;Goseriede 16;30159
MNFM100008047;Ideenmanagement Hannover;Gradestr. 22;30163
MNFM100135453;Autohaus Hentschel GmbH;Grambartstraße 33 ;30165
MNFM100135597;Autohaus Hessengarage GmbH;Grambartstraße 33 ;30165
MNFM100005252;Hannover 10;Weidendamm 2;30167
MNFM100124181;mech ZB Han-Weidendamm;Gertrud-Knebusch-Straße 11;30167
MNFM100005752;SNL PeP Fr Garbe;Adenauerallee 18;30175
MNFM100120876;Regionalbereich Nord;Adenauer Allee 18;30175
MNFM100123627;Sg Flächenvertr./EB-Team Hannove;Am Listholze 72;30177
MNFM100118387;FM Koordination;Niemeyerstr. 1;30449
FT30100000001;ZB Hannover Süd;Mercedesstraße 5;30453
MNFM100137609;helpline ACL Auto Center Linden;Davenstedter Straße 95;30453
MNFM100135542;Stadtwerke HannoverAG enercity;Stammestraße 105 ;30459
MN182735;Hannover 70;Döhrbruch 54;30559
MN18702;ZB Hannover Anderten;Kleiner Holzhägen 2;30559
MNFM100004571;HUB 30 - stationär;Kleiner Holzhägen 2;30559
MNFM100007714;IFS;Kleiner Holzhägen 2;30559
MNFM100007715;PZ 30 -Geschäftsfahrzeuge-;Kleiner Holzhägen 2;30559
MNFM100122191;mech ZB Han-Anderten;Kleiner Holzhägen 2;30559
MNFM100124183;TS Hannover Parkplatzregelung, FZ 30 Hannover;Kleiner Holzhägen 2;30559
MNFM100133949;NL MKV, ZG 4400 // Hr Käsehage;Kleiner Holzhägen 2;30559
NEUMN18709;Paketzentrum 30;Kleiner Holzhägen 2;30559
MN182734;Hannover 61;Heidering 23;30625
MNFM100111105;Hannover 51;Läuferweg 20;30655
MNFM100008236;DHL Home Delivery GmbH;Oldenburger Allee 32;30659
MNFM100124408;TS Hannover WO/DO ;Oldenburger Allee 4;30659
MNFM100124449;TS Hannover TS Koordination;Oldenburger Allee 4;30659
MNFM100124708;WO/DO Hannover;Oldenburger Allee 4;30659
MNFM100131300;ZUI_Car_Service_Hannover_LR30,31;Rendsburger Str. 5;30659
MNFM100131645;Carservice Ahlem GmbH;Rendsburger Str. 5;30659
MNFM100135785;TALANX Service AG;HDI Platz 1;30659
MNFM100137149;TS Hannover Hr Schwarzer;Oldenburger Allee 4;30659
MN182726;Garbsen 1;Molkereistr. 13;30826
MNFM100137610;helpline Lemgau Car Service GmbH;Bremer Straße 50;30826
MN182752;Langenhagen;Konrad-Adenauer-Straße 10;30853
MNFM100122195;ZB Langenhagen;Rehkamp 12;30853
MNFM100122980;NL Langenhagen-Imhoff Sols;Imhoffstr. 44;30853
MNFM100007049;DDI GTW Hannover;Münchner Str. 9;30855
MNFM100128180;DHL Global Forwarding GmbH;Heinz-Peter_Piper-Str 8;30855
MNFM100129780;DHL Paket GmbH Logistik-Team;Bayernstr. 20;30855
MNFM100129900;DHL Express Hannover;Münchner Str. 9;30855
MNFM100132621;Packstation Hannover ZGr 6300 Li;Bayernstr. 20;30855
MNFM100134843;Terminal Handling Hannover;Münchner Str. 9;30855
MNFM100137309;NL Solutions//Hr Bielek;Bayernstr. 20;30855
MN182754;Laatzen 1;Robert-Koch-Straße 3;30880
MNFM100119758;DHL Trade Fairs & Events GmbH;Ulmer Str. 2;30880
MNFM100133001;DHL Freight GmbH Hannover;Münchner Str 36;30885
MN182715;Barsinghausen;Laverastraße 3;30890
MN182784;Wedemark 11;Auf der Haube 6;30900
MN182748;Isernhagen 11;Sattlerstraße 9;30916
MNFM100124221;Seelze;Immengarten 8;30926
MN182713;Burgwedel;Von-Alten-Straße 9;30938
MN182766;Ronnenberg;Am Rathaus 14;30952
MN182783;Wennigsen;Hauptstraße 13;30974
DUP340-MN184;Briefzentrum 30;Ludwig-Erhard-Straße 39;30982
MN182762;Pattensen;Ludwig-Erhard-Straße 39;30982
MNFM100005106;BZ 30 -Verwaltung-;Ludwig-Erhard-Straße 39;30982
MNFM100005108;BZ 30 -Abteilung 31-;Ludwig-Erhard-Straße 39;30982
MNFM100005109;BZ 30 -Abteilung 33-;Ludwig-Erhard-Straße 39;30982
MNFM100005110;BZ 30 -Abteilung 32-;Ludwig-Erhard-Straße 39;30982
MNFM100008459;BZ 30 -Vorbereitungszentrum-;Ludwig-Erhard-Straße 39;30982
MNFM100115145;BZ 30 -Abteilung 31- MOBIS;Ludwig-Erhard-Straße 39;30982
MNFM100135204;BZ 30 -Sachgebiet 316-;Ludwig-Erhard-Straße 39;30982
MNFM100137330;ZSPL Pattensen;Ludwig-Erhard-Straße 39;30982
MN182729;Gehrden;Am Markt 3;30989
MN182725;Elze;Heilswannenweg 47 a;31008
MNFM100131646;helplinePRO Joachim Rathmer e.K.;Sehlder Str.23;31008
MN182771;Salzhemmendorf;Salzhemmendorfer Str. 2;31020
DUP336-MN184;Alfeld;Liebigstr. 20;31061
MNFM100131647;helplinePRO IDENTICA Wissel;Alte Heerstr. 20;31061
MNFM100131781;helplinePRO IDENTICA Wissel;Alte Heerstr. 20;31061
MNFM100135770;Autogalerie Alfeld GmbH;Senator-Behrens-Str. 2 ;31061
MN18712;ZB Hildesheim;Albert-Einstein-Straße 6;31135
MN182742;Hildesheim 10;Ernst-Morsch-Str. 4;31137
MNFM100122653;ZUI_Boya_Karo_Hanover_LR30,31;Marggrafstraße 25;31137
MNFM100135517;Peter Meineke GmbH & Co. KG;Hafenstraße 18;31137
MNFM100135555;AHLBORN GmbH Unimog-;Hafenstrasse 18 ;31137
MN182777;Sarstedt;Ludwig-Erhard-Ring 14a;31157
MN182711;Bad Salzdetfurth;Zuckerfabrik 1a;31162
MN182778;Schellerten;Berliner Straße 14;31174
MN182761;Peine;Im Großen Felde 1;31226
MN182747;Oberg;Oberger Hauptstr.34;31246
MN182750;Lehrte;Poststraße 12;31275
MN182709;Burgdorf;Lise-Meitner-Straße 13;31303
MN182781;Uetze;Burgdorfer Straße 85;31311
MN182770;Sehnde 3;Peiner Str. 61;31319
MN182785;Wunstorf 1;Max-Planck-Str. 1;31515
MN18719;ZB Wunstorf;Albert-Einstein-Straße 17;31515
MN182758;Neustadt 11;Justus-von-Liebig-Straße 12;31535
MN182768;Rehburg-Loccum;Niedersachsenstr. 31;31547
MN182767;Rodenberg 2;Hans-Sachs-Straße 9;31552
MN182759;Nienburg;Große Drakenburger Str. 96;31582
MN182773;Steyerberg;Sarninghäuser Straße 47-49;31595
MN182786;Warmsen;Wiesenweg 3;31606
MN182775;Stadthagen 11;Dülwaldstr. 17;31655
MN182717;Luhden;Hainekamp 19;31711
MN182765;Rinteln;Detmolder Str. 27-29;31737
MN182737;Hessisch Oldendorf;Ruthenstraße 19-21;31785
MN182745;Hameln 11;Ruthenstraße 19-21;31785
MNFM100118595;Gebietsleitung Hannover;Ruthenstr. 19-21;31785
MNFM100110645;SStp Hameln BHW;Lubahnstr. 2;31789
MNFM100119915;KA PB / OM Region Nord-Ost;Lubahnstr. 2;31789
MNFM100123081;OM Region Nord-Ost;Lubahnstr. 2;31789
MN182776;Springe;Fünfhausenstraße 21;31832
MN182716;Bad Münder;Süntelstraße 42;31848
MN182714;Aerzen-Bad Pyrmont;Wülmser Weg 4;31855
MNFM100117126;c/o Lenze Drive System;Hans-Lenze-Str. 1;31855
MN182723;Emmerthal;Hauptstraße 62a;31860
MNFM100135748;Peinemann Mobilift Groep B.V.;Nieuwe Langeweg 40 ;3194
DUP352-MN184;BZ 32 ABT. VERKEHR;BIELEFELDER STR. 242;32051
MN182912;Herford;Wellbrocker Weg 15;32051
MNFM100003130;BZ 32 Abt. Auslieferung;Bielefelder Str. 242;32051
MNFM100008469;BZ 32 Stationäre Bearbeitung;Bielefelder Str. 242;32051
MNFM100135377;Alphabet Fuhrparkmanagement;Am Schachtsiek 8 ;32051
MNFM100135611;Hermann Meyer GmbH & Co. KG;Füllenbruchstraße 55 ;32051
RT20100000937;BZ 32 Hausservice (Abt. 38);BIELEFELDER STR. 242;32051
MN18471;3672 Herford;Bunsenstr. 12;32052
BT32100000020;BZ 32 Abt. Auslieferung PAKET;Bielefelder Str. 242;32061
MN182911;BZ 32 VERWALTUNG HERFORD;BIELEFELDER STR. 242;32061
MN182916;Großannahme Herford;Bielefelder Str. 242;32061
MN182896;Bad Salzuflen;HOFFMANNSTR. 7;32105
MN182904;Enger;BÜNDER STR. 67;32130
MN182948;Spenge;POSTSTR. 8;32139
MN182892;Bünde;BISMARCKSTR. 21-23;32257
MN182946;Rödinghausen;KILVERSTR. 168;32289
MN182934;Lübbecke;NIEDERWALL 3;32312
MNFM100123501;ZUI_Schling_Lübbecke_LR32;Daimlerstraße 28;32312
MN182906;Espelkamp;HINDENBURGRING 26;32339
MN182947;Stemwede;LEVERNER STR. 27;32351
MNFM100129440;Pr. Oldendorf;Kanalweg 18;32361
MN182945;Rahden;EISENBAHNSTR. 18;32369
MN182932;Minden 301;Kaiserstr. 35;32423
MN18480;3673 Minden;Friedrich-Wilhelm-Str. 30;32423
NEUMN18481;Fgr. Transport Minden;Hafenstr. 10;32423
MNFM100132360;helplinePro Autoservice Hahlen;Beckersheide 1;32427
MNFM100137250;GAS helpline-Werkstatt Burduzan;Rodenbecker Str. 60;32427
MN182942;Porta Westfalica;HAUPTSTR. 40;32457
MN182941;Petershagen;AN DER WANDLUNG 25;32469
MN182917;Hille;MÜHLENSTR. 9;32479
MN182891;Bad Oeynhausen;DR.-NEUHÄUßER-STR. 4;32545
